"","OTU","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S4","S5","S6","S7","S8","S9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_485","16S_485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_486","16S_486",0,26,25,0,0,0,0,0,0,60,47,0,27,0,0,70,0,31,28,0,22,0,0,0,32,31,0,60,45,0,0,0,45,0,74,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Motiliproteus",NA
"16S_487","16S_487",128,0,116,111,0,97,0,0,0,0,145,113,116,0,108,81,0,65,40,59,30,110,0,0,121,18,31,44,19,76,102,0,105,72,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_489","16S_489",43,77,37,49,92,53,50,40,19,56,42,77,44,77,37,26,41,41,45,56,43,48,83,51,48,93,64,43,90,35,59,51,50,56,45,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_490","16S_490",0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"16S_494","16S_494",36,64,0,84,67,47,61,34,39,49,66,72,47,73,37,0,63,78,56,50,29,60,66,47,0,73,50,73,82,46,50,63,71,68,64,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_496","16S_496",0,39,34,0,0,46,0,161,44,0,0,37,0,0,80,98,0,0,95,0,59,94,42,43,31,42,41,55,45,21,50,98,130,52,81,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"16S_499","16S_499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"16S_500","16S_500",49,62,30,63,74,70,52,61,26,38,51,66,42,79,33,36,38,46,41,57,55,68,94,41,45,54,83,43,85,39,51,44,35,54,25,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_502","16S_502",0,55,37,0,0,0,0,0,0,0,52,0,55,0,0,0,0,78,0,0,43,0,0,101,33,78,0,67,56,0,0,0,0,0,58,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Motiliproteus",NA
"16S_503","16S_503",41,49,0,67,52,52,58,40,0,79,56,73,34,41,0,52,49,64,51,46,78,69,63,57,93,62,52,66,54,35,60,75,64,39,39,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_505","16S_505",0,46,31,0,0,63,0,62,0,18,23,0,39,0,0,0,0,0,31,41,23,61,0,0,47,0,33,55,50,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_508","16S_508",50,97,0,75,72,66,33,50,32,52,44,72,45,66,43,32,44,70,35,60,48,55,74,63,55,63,56,41,62,50,44,33,55,53,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_512","16S_512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_514","16S_514",76,48,55,0,29,72,51,50,29,31,43,54,24,49,53,0,0,74,99,39,108,29,73,85,67,91,72,47,61,35,98,52,44,0,33,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"16S_515","16S_515",59,60,0,80,85,38,65,65,0,44,57,77,28,74,48,0,48,65,45,53,56,53,95,26,24,58,88,58,67,0,86,63,58,47,0,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_518","16S_518",59,55,0,58,74,49,55,40,27,46,59,64,36,55,30,0,41,55,57,54,32,60,59,50,39,64,73,50,79,61,56,69,47,50,46,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_519","16S_519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"16S_525","16S_525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_526","16S_526",0,34,0,101,19,77,27,0,126,116,38,33,98,0,0,0,0,33,103,143,29,90,50,85,42,0,0,111,23,25,34,30,0,116,135,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae",NA,NA
"16S_529","16S_529",105,54,35,39,69,40,28,42,78,85,42,47,30,54,66,30,33,0,56,49,75,43,45,30,45,66,47,31,59,65,36,72,44,39,27,"Bacteria","Proteobacteria","Deltaproteobacteria","MBNT15",NA,NA,NA
"16S_531","16S_531",46,59,25,59,66,67,49,58,31,55,33,54,34,62,25,17,46,35,46,51,40,53,91,51,43,59,60,48,89,25,63,36,46,51,23,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_532","16S_532",0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_533","16S_533",38,0,0,62,95,85,35,65,27,28,42,58,35,53,46,104,42,0,0,56,0,43,98,0,64,77,76,55,55,33,89,69,52,78,0,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"16S_537","16S_537",30,77,39,0,100,0,104,0,95,0,72,0,180,97,175,135,0,0,0,80,0,90,60,30,0,0,48,63,66,37,73,0,0,0,0,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"16S_540","16S_540",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,70,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_541","16S_541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_542","16S_542",37,40,0,90,54,38,122,0,86,139,0,36,0,62,0,0,84,30,0,83,0,81,50,94,40,45,20,81,41,103,90,0,108,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea",NA
"16S_544","16S_544",127,35,19,111,53,58,0,0,0,28,116,36,0,33,126,0,0,75,74,40,0,88,58,95,61,63,64,26,39,103,34,52,33,0,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_546","16S_546",0,66,49,0,0,79,0,50,45,33,70,103,43,60,18,45,0,0,0,57,0,56,70,0,65,84,54,43,47,73,67,77,59,125,0,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"16S_548","16S_548",48,56,51,51,58,57,39,54,37,54,38,56,42,47,47,34,37,33,38,53,30,55,69,29,47,63,56,46,54,47,51,37,51,40,26,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_549","16S_549",0,0,0,0,0,0,0,64,0,0,0,0,0,54,0,28,0,0,46,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"16S_551","16S_551",47,29,59,52,76,53,51,66,38,46,49,55,45,48,42,0,60,37,61,50,39,39,81,60,35,54,39,37,47,41,50,30,43,67,0,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
