Family,Relative,Microcosms,Sample
Caulobacteraceae,0.064822818,20D_80C,S59
Rhodobacteraceae,6.56551106,20D_80C,S59
SAR11_Clade III,0.050951268,20D_80C,S59
Bacteriovoracaceae,0.744528741,20D_80C,S59
Moraxellaceae,0.024808733,20D_80C,S59
Methylophagaceae,2.036716924,20D_80C,S59
Pseudomonadaceae,0.189400002,20D_80C,S59
Nitrincolaceae,5.734551896,20D_80C,S59
Porticoccaceae,0.214742256,20D_80C,S59
Saccharospirillaceae,0.137381692,20D_80C,S59
Colwelliaceae,0.272362538,20D_80C,S59
Burkholderiaceae,3.566588773,20D_80C,S59
Arcobacteraceae,58.18928263,20D_80C,S59
Crocinitomicaceae,0.053085353,20D_80C,S59
NS11-12 marine group,2.226917208,20D_80C,S59
Flavobacteriaceae,5.122069635,20D_80C,S59
JGI 0000069-P22 order,14.05214636,20D_80C,S59
Other,0.634623389,20D_80C,S59
Mycobacteriaceae,0.121909579,20D_80C,S60
Sporichthyaceae,0.093099438,20D_80C,S60
Caulobacteraceae,0.410544512,20D_80C,S60
Rhodobacteraceae,3.400930461,20D_80C,S60
SAR11_Clade III,0.059220846,20D_80C,S60
Bacteriovoracaceae,1.465315791,20D_80C,S60
Moraxellaceae,0.144317466,20D_80C,S60
Methylophagaceae,4.171334977,20D_80C,S60
Pseudomonadaceae,0.233415496,20D_80C,S60
Nitrincolaceae,4.637899207,20D_80C,S60
Porticoccaceae,0.020273803,20D_80C,S60
Saccharospirillaceae,0.204605354,20D_80C,S60
Colwelliaceae,0.252355496,20D_80C,S60
Burkholderiaceae,5.904211616,20D_80C,S60
Arcobacteraceae,69.10672557,20D_80C,S60
Crocinitomicaceae,0.119508734,20D_80C,S60
NS11-12 marine group,1.157207337,20D_80C,S60
Flavobacteriaceae,1.035564519,20D_80C,S60
JGI 0000069-P22 order,6.486816693,20D_80C,S60
Other,0.974743109,20D_80C,S60
Mycobacteriaceae,0.064022536,100C,S61
Sporichthyaceae,0.107237748,100C,S61
Caulobacteraceae,0.067490423,100C,S61
Rhodobacteraceae,6.911499514,100C,S61
SAR11_Clade III,0.054419156,100C,S61
Bacteriovoracaceae,0.291302538,100C,S61
Moraxellaceae,0.09896817,100C,S61
Methylophagaceae,1.844115795,100C,S61
Pseudomonadaceae,0.260358313,100C,S61
Nitrincolaceae,4.134255258,100C,S61
Porticoccaceae,0.171260284,100C,S61
Saccharospirillaceae,0.150986481,100C,S61
Colwelliaceae,0.214742256,100C,S61
Burkholderiaceae,4.947074704,100C,S61
Arcobacteraceae,65.71433144,100C,S61
Crocinitomicaceae,0.04694986,100C,S61
NS11-12 marine group,1.376751283,100C,S61
Flavobacteriaceae,4.59228315,100C,S61
JGI 0000069-P22 order,8.339735587,100C,S61
Other,0.612215501,100C,S61
Mycobacteriaceae,0.244085918,100C,S62
Sporichthyaceae,0.626087049,100C,S62
Caulobacteraceae,0.3483893,100C,S62
Rhodobacteraceae,12.05917816,100C,S62
SAR11_Clade III,0.460695498,100C,S62
Bacteriovoracaceae,3.795469339,100C,S62
Moraxellaceae,0.29183606,100C,S62
Methylophagaceae,3.190456374,100C,S62
Pseudomonadaceae,0.571934654,100C,S62
Nitrincolaceae,7.087294728,100C,S62
Porticoccaceae,0.11790817,100C,S62
Saccharospirillaceae,0.583672119,100C,S62
Colwelliaceae,0.291569299,100C,S62
Burkholderiaceae,13.61359198,100C,S62
Arcobacteraceae,40.6537768,100C,S62
Crocinitomicaceae,0.217143101,100C,S62
NS11-12 marine group,0.034945634,100C,S62
Flavobacteriaceae,1.972694388,100C,S62
JGI 0000069-P22 order,12.23363957,100C,S62
Other,1.605631848,100C,S62
Mycobacteriaceae,0.141649861,100C,S63
Sporichthyaceae,0.15552141,100C,S63
Caulobacteraceae,0.168059157,100C,S63
Rhodobacteraceae,3.963795256,100C,S63
SAR11_Clade III,0.134180565,100C,S63
Bacteriovoracaceae,2.327485942,100C,S63
Moraxellaceae,0.033345071,100C,S63
Methylophagaceae,6.270740634,100C,S63
Pseudomonadaceae,0.491906484,100C,S63
Nitrincolaceae,3.512969899,100C,S63
Porticoccaceae,1.245505084,100C,S63
Saccharospirillaceae,1.015557476,100C,S63
Colwelliaceae,0.139782537,100C,S63
Burkholderiaceae,11.72732802,100C,S63
Arcobacteraceae,58.28584995,100C,S63
Crocinitomicaceae,0.077093804,100C,S63
NS11-12 marine group,0.06615662,100C,S63
Flavobacteriaceae,1.029429026,100C,S63
JGI 0000069-P22 order,8.126327134,100C,S63
Other,1.087316069,100C,S63
Mycobacteriaceae,0.220344228,100C,S64
Sporichthyaceae,0.24008451,100C,S64
Caulobacteraceae,0.275830426,100C,S64
Rhodobacteraceae,5.676398092,100C,S64
SAR11_Clade III,0.20273803,100C,S64
Bacteriovoracaceae,2.441659464,100C,S64
Moraxellaceae,0.064022536,100C,S64
Methylophagaceae,2.794316933,100C,S64
Pseudomonadaceae,0.265960285,100C,S64
Nitrincolaceae,7.711514453,100C,S64
Porticoccaceae,0.619418035,100C,S64
Saccharospirillaceae,0.459628456,100C,S64
Colwelliaceae,0.459895216,100C,S64
Burkholderiaceae,10.7208404,100C,S64
Arcobacteraceae,42.54911062,100C,S64
Crocinitomicaceae,0.069090987,100C,S64
NS11-12 marine group,0.122976621,100C,S64
Flavobacteriaceae,1.475719453,100C,S64
JGI 0000069-P22 order,22.31452138,100C,S64
Other,1.315929876,100C,S64
Mycobacteriaceae,0.086430424,100C,S65
Sporichthyaceae,0.144050706,100C,S65
Caulobacteraceae,0.09896817,100C,S65
Rhodobacteraceae,3.087753556,100C,S65
SAR11_Clade III,0.195802256,100C,S65
Bacteriovoracaceae,0.74426198,100C,S65
Moraxellaceae,0.077627325,100C,S65
Methylophagaceae,3.005591301,100C,S65
Pseudomonadaceae,0.570334091,100C,S65
Nitrincolaceae,5.572894992,100C,S65
Porticoccaceae,0.186999157,100C,S65
Saccharospirillaceae,0.347322257,100C,S65
Colwelliaceae,0.138181973,100C,S65
Burkholderiaceae,5.884471334,100C,S65
Arcobacteraceae,74.26454112,100C,S65
Crocinitomicaceae,0.031210986,100C,S65
NS11-12 marine group,0.063755775,100C,S65
Flavobacteriaceae,1.25297438,100C,S65
JGI 0000069-P22 order,3.544981167,100C,S65
Other,0.701847051,100C,S65
